City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
155,kerikeri,-35.2268,173.9474,11.06,91,82,2.24,NZ,1715081485
156,wailua homesteads,22.0669,-159.378,22.44,83,100,6.69,US,1715081485
157,kavaratti,10.5669,72.642,30.4,68,23,3.26,IN,1715081486
158,nemuro,43.3236,145.575,4.47,97,100,5.22,JP,1715081486
159,alaghsas,17.0187,8.0168,40.94,14,100,2.57,NE,1715081486
160,benghazi,32.1167,20.0667,21.96,46,59,4.56,LY,1715081486
161,luderitz,-26.6481,15.1594,19.81,64,1,6.57,NA,1715081486
162,alice springs,-23.7,133.8833,14.75,63,100,3.09,AU,1715081486
163,saldanha,-33.0117,17.9442,20.03,84,98,4.99,ZA,1715081486
164,kingston,17.997,-76.7936,27.53,83,0,3.6,JM,1715081390
165,pathein,16.7833,94.7333,30.9,62,41,5.45,MM,1715081487
166,rongelap,11.1635,166.8941,27.97,75,67,8.7,MH,1715081487
167,malvan,16.0667,73.4667,29.96,66,2,6.73,IN,1715081487
168,sao joao da barra,-21.6403,-41.0511,24.05,77,0,3.77,BR,1715081487
169,shemonaikha,50.6328,81.9056,18.37,36,88,0.5,KZ,1715081487
170,rybinsk,58.0446,38.8426,6.29,34,100,3.13,RU,1715081487
171,ceeldheer,3.8488,47.1806,31.5,61,100,2.25,SO,1715081487
172,opuwo,-18.0607,13.84,31.95,17,0,5.78,NA,1715081487
173,broken hill,-31.95,141.4333,14.2,58,40,5.62,AU,1715081485
174,saipan,15.1355,145.701,28.39,74,20,4.63,MP,1715081488
175,okhotsk,59.3833,143.3,0.46,92,72,1.91,RU,1715081488
176,hoshcha,50.6003,26.6744,14.51,70,77,6.36,UA,1715081488
177,sabang,5.8933,95.3214,29.51,72,100,2.0,ID,1715081488
178,ta`u,-14.2336,-169.5144,28.44,81,100,3.53,AS,1715081488
179,marsa alam,25.0757,34.8918,26.6,44,0,8.77,EG,1715081488
180,senador jose porfirio,-2.5908,-51.9542,25.71,92,88,1.01,BR,1715081489
181,fale old settlement,-9.3852,-171.2468,29.41,77,92,3.85,TK,1715081489
182,saint croix,17.7397,-64.7388,27.2,83,59,3.13,VI,1715081489
183,kangding,30.0513,101.9603,10.68,99,100,2.54,CN,1715081489
184,ajman city,25.4111,55.435,36.19,46,0,6.69,AE,1715081489
185,novaya igirma,57.1334,103.9112,9.67,37,70,3.77,RU,1715081490
186,pitimbu,-7.4706,-34.8086,28.33,76,91,3.94,BR,1715081490
187,oriximina,-1.7656,-55.8661,24.37,98,100,1.27,BR,1715081490
188,portland,45.5234,-122.6762,7.99,90,100,2.24,US,1715081100
189,aldama,22.9167,-98.0667,24.89,99,100,0.66,MX,1715081490
190,klyuchi,52.2667,79.1667,16.73,32,99,2.41,RU,1715081490
191,port saint john's,-31.6229,29.5448,30.47,41,0,3.18,ZA,1715081490
192,atafu village,-8.5421,-172.5159,29.61,75,96,5.17,TK,1715081490
193,bayanaul,50.7889,75.6956,15.21,55,98,2.73,KZ,1715081490
194,tolanaro,-25.0319,46.9987,25.04,83,40,8.23,MG,1715081491
195,kamloops,50.6665,-120.3192,9.3,70,75,7.2,CA,1715081491
196,namibe,-15.1961,12.1522,27.77,56,3,6.83,AO,1715081491
197,isangel,-19.55,169.2667,23.0,79,44,4.33,VU,1715081491
198,tual,-5.6667,132.75,25.45,91,100,2.0,ID,1715081491
199,tomatlan,19.9333,-105.25,18.54,79,100,1.14,MX,1715081491
200,the pas,53.8251,-101.2541,9.01,61,100,5.66,CA,1715081338
201,leninkent,42.9689,47.352,12.3,71,100,1.9,RU,1715081491
202,lompoc,34.6391,-120.4579,13.66,87,0,6.17,US,1715081492
203,ribeira grande,38.5167,-28.7,19.22,88,40,7.15,PT,1715081492
204,hilo,19.7297,-155.09,27.38,95,20,2.06,US,1715081492
205,mar del plata,-38.0023,-57.5575,16.72,94,100,3.6,AR,1715081237
206,yenicaga,40.7711,32.0337,18.27,24,35,4.28,TR,1715081492
207,taltal,-25.4,-70.4833,15.26,75,100,0.66,CL,1715081421
208,malango,-2.9627,119.9001,20.33,99,87,1.01,ID,1715081492
209,ludington,43.9553,-86.4526,11.23,65,0,4.12,US,1715081492
210,bolgar,54.95,49.0667,7.12,91,100,3.16,RU,1715081493
211,yanam,16.7333,82.2167,31.98,67,1,4.04,IN,1715081493
212,gizo,-8.103,156.8419,27.85,82,100,2.67,SB,1715081493
213,stephenville,32.2207,-98.2023,22.07,89,40,1.54,US,1715081433
214,avarua,-21.2078,-159.775,27.03,94,100,4.12,CK,1715081493
